step,time,drift_vv,drift_rk4
307,15.350000000000001,0.0006809452231531985,0.0001811799278090613
308,15.4,0.0005399980048440525,0.0001813361152171706
309,15.450000000000001,0.0004590882678088049,0.00018141659365452544
310,15.5,0.0004229359154191585,0.0001814480638651748
311,15.55,0.00042339246633080625,0.00018144340758418265
312,15.600000000000001,0.00045689820205394304,0.0001814087563260899
313,15.65,0.0005215852458416263,0.00018135361990721422
314,15.700000000000001,0.0006110696149243863,0.0001813180184915396
315,15.75,0.0006966053028992424,0.00018145443808374075
316,15.8,0.0006755255763847299,0.00018222360448142351
317,15.850000000000001,0.00024589658230657737,0.00018441816645072405
318,15.9,0.0012310214824866625,0.00018620778672548684
319,15.950000000000001,0.004071635869476686,0.0001756167490170639
320,16.0,0.0058973887802037574,0.00016642852221127762
321,16.05,0.0040206604393369285,0.00019594590405368854
322,16.1,0.0012162173844653902,0.00021255983591324238
323,16.150000000000002,0.00020880992944804578,0.00021269073487308401
324,16.2,0.0006000733534434837,0.00021129468600535463
325,16.25,0.0005898859129390702,0.00021081625797209083
326,16.3,0.00047322304098929355,0.0002107805248301099
327,16.35,0.00034888129309772176,0.0002108564098783557
328,16.400000000000002,0.00024273073240757312,0.0002109366494921466
329,16.45,0.00015782852453555114,0.00021099818144170422
330,16.5,9.129013724880165e-05,0.00021104127762407098
331,16.55,3.943069307210325e-05,0.00021107066553623268
332,16.6,8.920151737183095e-07,0.0002110907060050862
333,16.650000000000002,3.208752466656556e-05,0.00021110457918485854
334,16.7,5.594844125326668e-05,0.0002111144381699339
335,16.75,7.381279067926458e-05,0.00021112170071667749
336,16.8,8.670249316992816e-05,0.0002111272891301582
337,16.85,9.54258126253165e-05,0.0002111317978883733
338,16.900000000000002,0.00010064794591756792,0.00021113560509036704
339,16.95,0.000102937120939054,0.00021113894589540888
340,17.0,0.00010279304648199802,0.0002111419614133357
341,17.05,0.00010066323451122173,0.00021114473175015943
342,17.1,9.695142295684183e-05,0.0002111472986515108
343,17.150000000000002,9.202123895343669e-05,0.0002111496810591515
344,17.2,8.619735696376047e-05,0.00021115188567764263
345,17.25,7.976569268725384e-05,0.00021115391392260307
346,17.3,7.297360734896614e-05,0.0002111557662358826
347,17.35,6.603066130874408e-05,0.00021115744449874183
348,17.400000000000002,5.911013742310164e-05,0.00021115895312050196
349,17.45,5.235133823702559e-05,0.00021116029925063293
350,17.5,4.586252971898128e-05,0.00021116149246537975
351,17.55,3.972433921005128e-05,0.00021116254417602378
352,17.6,3.3993397765644964e-05,0.0002111634669429957
353,17.650000000000002,2.8706030727154934e-05,0.00021116427380630322
354,17.7,2.3881831361798347e-05,0.00021116497770228929
355,17.75,1.9526990616315156e-05,0.00021116559099153254
356,17.8,1.563729453162818e-05,0.00021116612511284493
357,17.85,1.2200735529367981e-05,0.00021116659034773182
358,17.900000000000002,9.199712514998779e-06,0.00021116699569344497
359,17.95,6.6128171583425e-06,0.000211167348809451
360,18.0,4.416220125319223e-06,0.00021116765603510515
361,18.05,2.5846825630938288e-06,0.00021116792245643866
362,18.1,1.092225834443578e-06,0.00021116815201016343
363,18.150000000000002,8.750205109166539e-08,0.00021116834762149522
364,18.2,9.81120825246898e-07,0.0002111685113672981
365,18.25,1.615626679028777e-06,0.0002111686446603019
366,18.3,2.018664438803089e-06,0.0002111687484559218
367,18.35,2.2189070835070174e-06,0.00021116882348575918
368,18.400000000000002,2.2464806202941e-06,0.00021116887050418764
369,18.45,2.133366706073346e-06,0.0002111688905369785
370,18.5,1.9137112160469278e-06,0.00021116888513553444
371,18.55,1.6239662987657294e-06,0.00021116885659033696
372,18.6,1.302798421914544e-06,0.0002111688080961301
373,18.650000000000002,9.907075599700201e-07,0.00021116874382584556
374,18.7,7.293245082033196e-07,0.0002111686688859076
375,18.75,5.60384246163415e-07,0.00021116858913864365
376,18.8,5.244115056819407e-07,0.00021116851087327602
377,18.85,6.591961186318135e-07,0.00021116844035625474
378,18.900000000000002,9.981742540740076e-07,0.00021116838329084125
379,18.95,1.568860161897196e-06,0.00021116834425901815
380,19.0,2.391484687386045e-06,0.00021116832620826358
381,19.05,3.4779869391828246e-06,0.00021116833008175698
382,19.1,4.83147286963571e-06,0.0002111683546392599
383,19.150000000000002,6.446202593539136e-06,0.00021116839650911837
384,19.200000000000003,8.30810421494429e-06,0.00021116845047835424
385,19.25,1.0395745822998161e-05,0.000211168509973092
386,19.3,1.2681639347753526e-05,0.00021116856766508252
387,19.35,1.5133708377948336e-05,0.00021116861614382462
388,19.400000000000002,1.771673115957115e-05,0.00021116864854722072
389,19.450000000000003,2.039356957189272e-05,0.0002111686591206868
390,19.5,2.3126010488877635e-05,0.000211168643653734
391,19.55,2.5875070390786948e-05,0.0002111685997984404
392,19.6,2.860063928879806e-05,0.0002111685272881666
393,19.650000000000002,3.126035861663885e-05,0.0002111684281071582
394,19.700000000000003,3.38076344262116e-05,0.0002111683066485919
395,19.75,3.618867997971462e-05,0.00021116816992564397
396,19.8,3.8338461828228334e-05,0.0002111680278386393
397,19.85,4.017539685547776e-05,0.00021116789350015088
398,19.900000000000002,4.159462627560768e-05,0.0002111677835325688
399,19.950000000000003,4.2459697303639154e-05,0.00021116771810174873
400,20.0,4.2592549145687e-05,0.0002111677202892452
401,20.05,4.176188350416992e-05,0.0002111678140545344
402,20.1,3.967038821033214e-05,0.000211168019560583
403,20.150000000000002,3.594200189186721e-05,0.00021116834404268168
404,20.200000000000003,3.011162204385016e-05,0.00021116876571491546
405,20.25,2.1621543062908074e-05,0.0002111692078701171
406,20.3,9.831561118658795e-06,0.00021116950118022114
407,20.35,5.947083218943064e-06,0.0002111693356952294
408,20.400000000000002,2.6380762846275743e-05,0.0002111682125622818
409,20.450000000000003,5.1991602701154586e-05,0.0002111654207610738
410,20.5,8.29758426125788e-05,0.00021116008481479956
411,20.55,0.0001189693046619913,0.0002111513445479124
412,20.6,0.00015879702104386776,0.00021113871266430405
413,20.650000000000002,0.0002002859020343609,0.00021112257663057473
414,20.700000000000003,0.00024025614256232335,0.00021110465988753775
415,20.75,0.0002748060863750139,0.00021108810648026353
416,20.8,0.0002999319073666291,0.00021107687251634288
417,20.85,0.00031237632608229024,0.00021107443962277233
418,20.900000000000002,0.0003104435161647535,0.00021108238900754996
419,20.950000000000003,0.00029446126895963596,0.00021109965348526166
420,21.0,0.0002666890593639928,0.0002111229346523033
421,21.05,0.00023071286503360027,0.000211148025980492
422,21.1,0.00019058388718479275,0.0002111712557325296
423,21.150000000000002,0.00015001986543079554,0.00021119035715564435
424,21.200000000000003,0.0001118878514001624,0.0002112045776630202
425,21.25,7.802223179823629e-05,0.00021121427502436137
426,21.3,4.930423714730375e-05,0.00021122036912900793
427,21.35,2.5881172717918664e-05,0.00021122390038763467
428,21.400000000000002,7.418830369589687e-06,0.00021122577628345852
429,21.450000000000003,6.678065674940663e-06,0.00021122667808193762
430,21.5,1.710326587756826e-05,0.00021122706438817229
431,21.55,2.454462632372492e-05,0.00021122721637890072
432,21.6,2.962649930067528e-05,0.00021122729077621311
433,21.650000000000002,3.288470040396619e-05,0.0002112273649490318
434,21.700000000000003,3.476166612465068e-05,0.00021122746982225543
435,21.75,3.5612655866914934e-05,0.0002112276115522115
436,21.8,3.5716969454112936e-05,0.00021122778471570328
437,21.85,3.529057324419546e-05,0.0002112279797259494
438,21.900000000000002,3.449819354352408e-05,0.00021122818664727692
439,21.950000000000003,3.346398336733401e-05,0.00021122839690015206
440,22.0,3.228047611804283e-05,0.00021122860381842063
441,22.05,3.1015861324100083e-05,0.00021122880263367344
442,22.1,2.9719766052447738e-05,0.0002112289902179536
443,22.150000000000002,2.8427776114664236e-05,0.00021122916474472205
444,22.200000000000003,2.71649307013398e-05,0.00021122932536732649
445,22.25,2.594840002441702e-05,0.0002112294719430155
446,22.3,2.4789523300351246e-05,0.00021122960480623532
447,22.35,2.3695351699352857e-05,0.00021122972460004745
448,22.400000000000002,2.2669811456396325e-05,0.0002112298321502012
449,22.450000000000003,2.17145773549435e-05,0.00021122992837438464
450,22.5,2.0829726397351307e-05,0.0002112300142157772
451,22.55,2.001422527347141e-05,0.00021123009060583227
452,22.6,1.926629251741328e-05,0.00021123015843419742
453,22.650000000000002,1.8583666408054917e-05,0.0002112302185320602
454,22.700000000000003,1.7963802143503357e-05,0.00021123027166518026
455,22.75,1.740401605237731e-05,0.00021123031852862142
456,22.8,1.6901590237778727e-05,0.00021123035974862075
457,22.85,1.6453847758378776e-05,0.00021123039588241888
458,22.900000000000002,1.605820592060386e-05,0.00021123042742114887
459,22.950000000000003,1.5712213416452477e-05,0.00021123045479782356
460,23.0,1.541357556484571e-05,0.0002112304783881852
461,23.05,1.5160170901388362e-05,0.000211230498515294
462,23.1,1.4950061507458117e-05,0.0002112305154544564
463,23.150000000000002,1.4781498895645068e-05,0.00021123052943764352
464,23.200000000000003,1.4652926795274927e-05,0.0002112305406528115
465,23.25,1.4562981838295888e-05,0.00021123054925426785
466,23.3,1.4510492889366337e-05,0.00021123055535723348
467,23.35,1.4494479565488016e-05,0.00021123055904582973
468,23.400000000000002,1.4514150324495758e-05,0.00021123056036967974
469,23.450000000000003,1.4568900403318264e-05,0.00021123055934968644
470,23.5,1.4658309764226169e-05,0.00021123055597514344
471,23.55,1.4782141155281303e-05,0.00021123055020526462
472,23.6,1.4940338276490008e-05,0.00021123054196952394
473,23.650000000000002,1.513302401155417e-05,0.00021123053116374682
